; PERSON  r2Winsteps  Apr  1 2016 12:33
;ENTRY MEASURE ST   COUNT    SCORE MODLSE IN.MSQ IN.ZST OUT.MS OUT.ZS  DISPL   PTMA WEIGHT OBSMA EXPMA PMA-E  RMSR    WMLE NAME
     1   -3.23 -1     5.0       .0   1.93   1.00    .00   1.00    .00    .00    .00   1.00 100.0 100.0   .00   .00   -3.23 1086 | Male   | Black
   187     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 968  | Female | Asian
   188     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1007 | Male   | Latino
   189     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 929  | Female | White
   190     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1088 | Male   | White
   191     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1005 | Male   | White
   192     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 893  | Female | White
   193     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1076 | Male   | White
   194     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 909  | Male   | White
   195     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 896  | Male   | White
   196     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1108 | Male   | White
   197     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 997  | Male   | White
   198     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1020 | Female | White
   199     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1027 | Female | Latino
   200     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 930  | Male   | White
   201     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1071 | Female | White
   202     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 986  | Male   | Asian
   203     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 932  | Male   | White
   204     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 939  | Female | White
   205     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1113 | Male   | White
   206     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 854  | Female | White
   207     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1042 | Female | White
   208     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1013 | Male   | Black
   209     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 1141 | Female | White
   210     .52  1     5.0      3.0   1.03    .56  -1.07    .48   -.86    .00    .81   1.00 100.0  70.5   .46   .33     .45 975  | Male   | Latino
   211    -.52  1     5.0      2.0   1.03   1.45   1.04   2.22   1.67    .00   -.03   1.00  60.0  72.3   .46   .52    -.46 1146 | Female | Asian
   212    -.52  1     5.0      2.0   1.03   1.45   1.04   2.22   1.67    .00   -.03   1.00  60.0  72.3   .46   .52    -.46 1092 | Female | White
   213    -.52  1     5.0      2.0   1.03   1.45   1.04   2.22   1.67    .00   -.03   1.00  60.0  72.3   .46   .52    -.46 894  | Male   | White
   214     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1018 | Female | Asian
   215     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1060 | Female | Latino
   216     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 982  | Male   | White
   217     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1039 | Male   | Asian
   218     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1034 | Female | White
   219     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1009 | Female | White
   220     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1055 | Female | White
   221     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 944  | Female | White
   222     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 983  | Female | White
   223     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 957  | Female | White
   224     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1090 | Male   | White
   225     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 970  | Male   | White
   226     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1103 | Male   | White
   227     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1087 | Male   | White
   228     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 995  | Male   | Black
   229     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1004 | Male   | White
   230     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1043 | Female | Latino
   231     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 821  | Female | White
   232     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 935  | Male   | Black
   233     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 952  | Male   | White
   234     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 881  | Female | White
   235     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1052 | Female | Latino
   236     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1007 | Male   | White
   237     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 909  | Male   | Asian
   238     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1023 | Male   | White
   239     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 972  | Male   | Latino
   240     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1246 | Female | Latino
   241     .52  1     5.0      3.0   1.03   1.28    .73   1.16    .45    .00    .27   1.00  60.0  70.5   .46   .49     .45 1154 | Female | White
   242     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 1030 | Male   | Asian
   243     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 1051 | Male   | White
   244     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 1149 | Female | Latino
   245     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 1038 | Male   | White
   246     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 853  | Male   | Latino
   247     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 1022 | Male   | Latino
   248     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 980  | Male   | White
   249     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 960  | Male   | Latino
   250     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 959  | Male   | White
   251     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 1002 | Male   | White
   252     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 1025 | Female | Latino
   253     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 1058 | Female | White
   254     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 948  | Female | Asian
   255     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 826  | Female | White
   256     .52  1     5.0      3.0   1.03   1.70   1.48   1.71   1.16    .00   -.09   1.00  60.0  70.5   .46   .57     .45 964  | Male   | Black
   257    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1125 | Male   | White
   258    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1063 | Female | White
   259    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1036 | Male   | White
   260    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 983  | Female | White
   261    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1136 | Male   | White
   262    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 924  | Female | Latino
   263    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 962  | Female | White
   264    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 934  | Male   | Black
   265    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 994  | Male   | Black
   266    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1001 | Male   | Asian
   267    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 951  | Female | White
   268    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1167 | Male   | White
   269    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1091 | Male   | White
   270    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 938  | Male   | Latino
   271    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1031 | Female | Black
   272    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 823  | Male   | Latino
   273    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1083 | Male   | Asian
   274    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 772  | Female | Black
   275    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1036 | Male   | White
   276    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1115 | Female | White
   277    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1038 | Male   | White
   278    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 956  | Female | White
   279    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1164 | Female | White
   280    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1128 | Male   | Latino
   281    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1014 | Male   | White
   282    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 999  | Male   | White
   283    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1017 | Male   | White
   284    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 963  | Female | White
   285    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1042 | Female | White
   286    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 951  | Female | Asian
   287    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1197 | Female | White
   288    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 928  | Female | Black
   289    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1164 | Male   | Black
   290    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 952  | Female | White
   291    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 964  | Female | White
   292    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1017 | Female | White
   293    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1079 | Female | Black
   294    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1150 | Female | White
   295    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 864  | Female | White
   296    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1070 | Male   | Latino
   297    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1045 | Male   | White
   298    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 881  | Female | White
   299    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1024 | Male   | Latino
   300    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1186 | Male   | Latino
   301    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 903  | Male   | White
   302    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 987  | Female | White
   303    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 860  | Female | White
   304    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1009 | Male   | Latino
   305    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1103 | Female | White
   306    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 936  | Male   | Asian
   307    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 933  | Male   | Latino
   308    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1143 | Female | Latino
   309    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 905  | Male   | White
   310    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 994  | Female | Black
   311    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 956  | Male   | White
   312    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1195 | Female | White
   313    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1116 | Male   | Asian
   314    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1000 | Female | Multiple
   315    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 898  | Female | Asian
   316    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1086 | Female | White
   317    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 841  | Male   | Asian
   318    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 945  | Female | White
   319    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1226 | Female | White
   320    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 925  | Female | White
   321    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1119 | Female | White
   322    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1012 | Male   | Multiple
   323    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 984  | Male   | Latino
   324    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 906  | Female | White
   325    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 909  | Male   | White
   326    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1046 | Male   | White
   327    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 999  | Male   | Asian
   328    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 913  | Female | White
   329    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 810  | Male   | White
   330    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1135 | Female | White
   331    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 965  | Male   | Black
   332    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1039 | Female | White
   333    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 961  | Male   | White
   334    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1164 | Female | White
   335    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 991  | Male   | White
   336    1.72  1     5.0      4.0   1.21   1.24    .56    .89    .32    .00    .26   1.00  80.0  80.0   .37   .41    1.40 1131 | Female | Latino
   337    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 917  | Male   | White
   338    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 952  | Female | White
   339    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 1038 | Female | White
   340    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 1011 | Female | White
   341    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 857  | Male   | White
   342    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 1070 | Male   | Latino
   343    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 840  | Male   | Latino
   344    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 873  | Male   | Latino
   345    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 1049 | Female | White
   346    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 1005 | Female | White
   347    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 1087 | Female | White
   348    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 947  | Male   | White
   349    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 988  | Female | White
   350    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 983  | Female | White
   351    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 999  | Male   | Latino
   352    -.52  1     5.0      2.0   1.03   1.14    .45   1.05    .29    .00    .37   1.00  60.0  72.3   .46   .46    -.46 956  | Female | White
   353     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 899  | Male   | Asian
   354     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1176 | Male   | White
   355     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1032 | Male   | Black
   356     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1018 | Female | White
   357     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1021 | Male   | White
   358     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1026 | Male   | White
   359     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 866  | Female | White
   360     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1056 | Female | White
   361     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1099 | Male   | White
   362     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 996  | Female | Black
   363     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1083 | Female | Latino
   364     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 800  | Female | Latino
   365     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1019 | Female | White
   366     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1040 | Female | Latino
   367     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 936  | Female | White
   368     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 814  | Female | White
   369     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 992  | Female | Black
   370     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 918  | Female | Latino
   371     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 870  | Male   | Latino
   372     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 880  | Male   | White
   373     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 903  | Female | White
   374     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1175 | Female | Latino
   375     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 933  | Female | Asian
   376     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 897  | Female | Asian
   377     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1036 | Female | White
   378     .52  1     5.0      3.0   1.03    .77   -.44    .64   -.47    .00    .67   1.00  60.0  70.5   .46   .38     .45 1110 | Female | Black
